0.059	-0.02444	-0.82836	-14.01094	0.01237	0.41900	7.06561	0.00662	0.22431	3.79910	0.00328	0.11112	1.88729	0.00169	0.05731	0.97559	
0.060	-0.02528	-0.84237	-14.00842	0.01279	0.42607	7.06247	0.00684	0.22811	3.79886	0.00339	0.11301	1.88763	0.00175	0.05828	0.97596	
0.061	-0.02613	-0.85638	-14.00577	0.01322	0.43313	7.05918	0.00707	0.23191	3.79860	0.00350	0.11490	1.88798	0.00181	0.05926	0.97635	
0.062	-0.02699	-0.87038	-14.00299	0.01366	0.44018	7.05571	0.00731	0.23571	3.79833	0.00362	0.11678	1.88836	0.00187	0.06024	0.97676	
0.063	-0.02787	-0.88438	-14.00007	0.01410	0.44724	7.05208	0.00755	0.23951	3.79804	0.00374	0.11867	1.88875	0.00193	0.06121	0.97719	
0.064	-0.02876	-0.89838	-13.99700	0.01455	0.45429	7.04828	0.00779	0.24331	3.79774	0.00386	0.12056	1.88916	0.00199	0.06219	0.97764	
0.065	-0.02967	-0.91238	-13.99380	0.01501	0.46133	7.04429	0.00803	0.24710	3.79743	0.00398	0.12245	1.88959	0.00205	0.06317	0.97811	
0.066	-0.03059	-0.92637	-13.99044	0.01548	0.46838	7.04011	0.00828	0.25090	3.79711	0.00410	0.12434	1.89004	0.00211	0.06415	0.97860	
0.067	-0.03152	-0.94036	-13.98692	0.01595	0.47541	7.03574	0.00853	0.25470	3.79676	0.00423	0.12623	1.89051	0.00218	0.06513	0.97912	
0.068	-0.03247	-0.95434	-13.98325	0.01643	0.48245	7.03117	0.00879	0.25849	3.79640	0.00435	0.12812	1.89100	0.00224	0.06611	0.97966	
0.069	-0.03343	-0.96832	-13.97941	0.01691	0.48948	7.02639	0.00905	0.26229	3.79603	0.00448	0.13001	1.89152	0.00231	0.06709	0.98022	
0.070	-0.03440	-0.98230	-13.97540	0.01741	0.49650	7.02141	0.00932	0.26609	3.79564	0.00461	0.13190	1.89205	0.00238	0.06807	0.98081	
0.071	-0.03539	-0.99627	-13.97121	0.01791	0.50352	7.01621	0.00958	0.26988	3.79523	0.00475	0.13380	1.89261	0.00245	0.06905	0.98143	
